tweet_id	date	time	lang	country_code
1512851745256452105	2022-04-09	17:55:38	en	NULL
1512851751472402436	2022-04-09	17:55:39	en	NULL
1512851763786915847	2022-04-09	17:55:42	und	NULL
1512851775547932672	2022-04-09	17:55:45	en	NULL
1512851776248193026	2022-04-09	17:55:45	es	NULL
1512851777686749185	2022-04-09	17:55:45	en	NULL
1512851781184888841	2022-04-09	17:55:46	en	NULL
1512851784477421568	2022-04-09	17:55:47	fr	NULL
1512851784510828545	2022-04-09	17:55:47	en	NULL
1512851789573369857	2022-04-09	17:55:48	es	NULL
1512851792723591169	2022-04-09	17:55:49	und	NULL
1512851795206447106	2022-04-09	17:55:50	en	NULL
1512851797932617728	2022-04-09	17:55:50	hi	NULL
1512851804211580929	2022-04-09	17:55:52	en	NULL
1512851816165298177	2022-04-09	17:55:55	en	NULL
1512851834049867780	2022-04-09	17:55:59	ar	NULL
1512851837828808706	2022-04-09	17:56:00	en	NULL
1512851842304118788	2022-04-09	17:56:01	en	NULL
1512851845877837828	2022-04-09	17:56:02	en	NULL
1512851847417114628	2022-04-09	17:56:02	en	NULL
1512851850499870727	2022-04-09	17:56:03	en	NULL
1512851852655738888	2022-04-09	17:56:03	es	NULL
1512851857403785222	2022-04-09	17:56:04	lv	NULL
1512851868820594693	2022-04-09	17:56:07	en	NULL
1512851880371707917	2022-04-09	17:56:10	tr	NULL
1512851885547573252	2022-04-09	17:56:11	fr	NULL
1512851891180478469	2022-04-09	17:56:12	es	NULL
1512851892736516107	2022-04-09	17:56:13	en	NULL
1512851897161502724	2022-04-09	17:56:14	en	NULL
1512851901217488902	2022-04-09	17:56:15	und	NULL
1512851930413944843	2022-04-09	17:56:22	es	NULL
1512851938034999305	2022-04-09	17:56:24	en	NULL
1512851948449456128	2022-04-09	17:56:26	pt	NULL
1512851965843329030	2022-04-09	17:56:30	en	NULL
1512851983232819211	2022-04-09	17:56:34	fr	NULL
1512851983601917954	2022-04-09	17:56:34	und	NULL
1512852009346650115	2022-04-09	17:56:41	en	NULL
1512852023049441285	2022-04-09	17:56:44	de	NULL
1512852032629227524	2022-04-09	17:56:46	en	NULL
1512852043505020932	2022-04-09	17:56:49	en	NULL
1512852064677867527	2022-04-09	17:56:54	en	NULL
1512852077902454784	2022-04-09	17:56:57	en	NULL
1512852093350158344	2022-04-09	17:57:01	es	NULL
1512852098093883394	2022-04-09	17:57:02	en	NULL
1512852100925079552	2022-04-09	17:57:02	en	NULL
1512852102334267399	2022-04-09	17:57:03	en	NULL
1512852118889148417	2022-04-09	17:57:07	en	NULL
1512852122773168137	2022-04-09	17:57:08	en	NULL
1512852124941512711	2022-04-09	17:57:08	en	NULL
